site,yoa,state,detection_type,pd_arrival_conf,year_dec_conf,notes
BOB'S CAVE,NA,WI,pers_comm,low,low,
JEWELL MINE,NA,WI,pers_comm,low,low,
JOHN GREY CAVE,NA,WI,pers_comm,low,low,
SUPERIOR NO. 5 SHAFT,NA,WI,pers_comm,low,low,
WEBB CAVES (PARTY CAVE),NA,WI,pers_comm,low,low,
WEST CARY NO. 7 SHAFT,NA,WI,pers_comm,low,low,
UGA STADIUM CULVERT,2019,GA,county,suspect,,
WILLIAMS MINE,2019,TN,report,suspect,,
BLACK CAVE,2018,WI,pers_comm,low,low,
BRIDGEPORT CAVE,2018,WI,pers_comm,low,low,
ASH,2017,KY,pers_comm,suspect,,
AUTOGRAPH,2017,WI,qpcr,high,high,
COW-COUNTERFEITER,2017,KY,pers_comm,suspect,,
CRYSTAL CAVE (TOURIST SECTION),2017,WI,qpcr,high,high,
CRYSTAL CAVE (TREE FORK SECTION),2017,WI,qpcr,high,high,
CRYSTAL_WI,2017,WI,qpcr,high,high,
DELLS CULVERT,2017,WI,qpcr,high,high,
FOG,2017,KY,pers_comm,suspect,,
GEIGER BEER CAVE,2017,WI,qpcr,high,high,
GUSTAFSON,2017,AR,pers_comm,,,
HALL SINK,2017,KY,pers_comm,suspect,,
LEDGEVIEW,2017,WI,qpcr,high,high,
LOGUE HOLLOW,2017,KY,pers_comm,suspect,,
ROCHEPORT,2017,MO,pers_comm,suspect,,
ROWLAND,2017,AR,pers_comm,,,
SAXONIA BEER CAVE,2017,WI,pers_comm,low,low,
SOUTH PORTAL,2017,WI,qpcr,high,high,
SPAWS CREEK SODALIS,2017,KY,pers_comm,suspect,,
TUNNEL CITY,2017,WI,qpcr,high,high,
TUNNEL CITY 2 (OLD MILWAUKEE RD.),2017,WI,qpcr,high,high,
WESTBY CAVE,2017,WI,pers_comm,low,low,
WILDCAT,2017,MO,pers_comm,suspect,,
WOLF CREEK,2017,AR,pers_comm,,,
HAMMET MINE,2017,SC,county,,,
1813,2016,KY,pers_comm,suspect,,
ACROSS THE ROAD,2016,KY,pers_comm,suspect,,
BAT CAVE,2016,AR,pers_comm,,,
BAY CITY,2016,WI,qpcr,high,high,
BAY CITY MINE,2016,WI,qpcr,high,high,
BEAR CAVE,2016,WI,county,low,high,
BEAR CREEK,2016,WI,qpcr,high,high,
CAVE MOUNTAIN,2016,AR,pers_comm,,,
CAVE SPRING,2016,IL,pers_comm,,,
CLIMAX,2016,KY,pers_comm,suspect,,
COBB CAVE,2016,WI,pers_comm,low,low,
CUSHMAN,2016,AR,pers_comm,,,
EDGEMAN,2016,AR,pers_comm,,,
ELROY SPARTA,2016,WI,qpcr,high,high,
FLINT CAVE,2016,WI,pers_comm,low,low,
GERMANIA NO. 2,2016,WI,qpcr,high,high,
GOVERNOR DODGE (TWIN VALLEY CAVE),2016,WI,pers_comm,low,low,
INDIAN CAVERNS,2016,PA,pers_comm,,,
JOHN EDDINGS,2016,AR,pers_comm,,,
JOHN GRIFFIN,2016,KY,pers_comm,suspect,,
JONES,2016,KY,pers_comm,suspect,,
LAINHART NO 2,2016,KY,pers_comm,suspect,,
LOST RIVER,2016,WI,qpcr,high,high,
MAIDEN ROCK,2016,WI,qpcr,high,high,
MAIDEN ROCK MINE,2016,WI,qpcr,high,high,
MARIBEL,2016,WI,qpcr,high,high,
MULLEN SPRINGS,2016,KY,pers_comm,suspect,,
OLD MANS PIT,2016,KY,pers_comm,suspect,,
PIGEON ROOST,2016,AR,pers_comm,,,
PINE HILL,2016,KY,pers_comm,suspect,,
POPP'S CAVE,2016,WI,pers_comm,low,low,
POTOWATOMI,2016,WI,qpcr,high,high,
PUMP STATION,2016,WI,qpcr,high,high,
REED,2016,AR,pers_comm,,,
RISEN,2016,KY,pers_comm,suspect,,
STAR VALLEY CAVE,2016,WI,pers_comm,low,low,
TAYLOR MINE,2016,MI,qpcr,high,high,
WATERFALL,2016,KY,pers_comm,suspect,,
WATKINS SALTPETER,2016,AL,pers_comm,suspect,,
WAUZEKA CRACK,2016,WI,pers_comm,low,low,
WELLEVER CAVE,2016,WI,qpcr,high,high,
BLOWING SALTPETER CAVE,2016,AL,county,,,
EUCUTTA CAVE,2016,MS,county,,,
UNI001A,2016,SC,county,,,
ATKINSON MINE CAVE,2015,WI,qpcr,high,high,
BAT CRAWFORD MO,2015,MO,pers_comm,suspect,,
BAT DENT MO,2015,MO,pers_comm,suspect,,
BEATENS CAVE,2015,MI,qpcr,high,high,
BOSCOBEL BEAR,2015,WI,qpcr,high,high,
BRANSON,2015,MO,pers_comm,suspect,,
BROOKS,2015,MO,pers_comm,suspect,,
BURTON,2015,IL,pers_comm,,,
CATHEDRAL CAVERNS,2015,AL,pers_comm,,,
CAVE BRANCH,2015,KY,pers_comm,suspect,,
CAVE HOLLOW PIT,2015,KY,pers_comm,suspect,,
COOKSTOVE,2015,MO,pers_comm,suspect,,
CRUMP,2015,KY,pers_comm,suspect,,
EAGLE CAVE,2015,WI,qpcr,high,high,
EQUALITY,2015,IL,pers_comm,,,
FITTON,2015,AR,pers_comm,suspect,,
FOUSHEE,2015,AR,pers_comm,suspect,,
FR17BT1g,2015,AR,pers_comm,,,
FR17BT1g,2015,MI,qpcr,high,high,
GREAT SPIRIT,2015,MO,pers_comm,suspect,,
GRIFFITH,2015,IL,pers_comm,low,low,
GRIFFITH,2015,IL,pers_comm,,,
HEDLEY,2015,MO,pers_comm,suspect,,
HIDDEN SPRINGS,2015,AR,pers_comm,suspect,,
HORSESHOE BAY,2015,WI,qpcr,high,high,
INDIAN,2015,AL,pers_comm,,,
JAGGED CANYON,2015,MO,pers_comm,suspect,,
JOHNSTON POTTERY,2015,WI,qpcr,high,high,
KEY,2015,AL,pers_comm,,,data from Elizabeth Hamrick
KICKAPOO CAVERNS (SINKHOLE CAVE),2015,WI,qpcr,high,high,
KICKAPOO CAVERNS (TOURIST),2015,WI,qpcr,high,high,
KNIFE,2015,MO,pers_comm,suspect,,
LITTLE AMOS,2015,KY,pers_comm,suspect,,
LONE HILL ONYX,2015,MO,pers_comm,suspect,,
MAGAZINE MINE,2015,IL,pers_comm,,,
MARTIN # 1,2015,MO,pers_comm,suspect,,
MASS C,2015,MI,qpcr,high,high,
MURDER BRANCH,2015,KY,pers_comm,suspect,,
NEDA MINE,2015,WI,qpcr,high,high,
PIQUET,2015,MO,pers_comm,suspect,,
