"","site","date","N","date2","year","month","pdate","wyear","yoa","ysw","max.N","Nc","x_lags","x_ct","y_lags","y_ct","lambda","log.lambda","log.max.N","size.category"
"1","BARTON HILL MINE","1/14/2013",33492,"2013-01-14",2013,1,13.4516129032258,2013,2009,4,43376,33493,20,4.47213595499958,-0.258592884941143,-0.0578231269226178,0.987153584510882,-0.00561527314946903,4.63724950023641,"huge"
"2","WALTER WILLIAMS PRESERVE","1/1/2013",25929,"2013-01-01",2013,1,13.0322580645161,2013,2008,5,87401,25930,3,1.73205080756888,0.441549979562151,0.254928999560882,1.15856633949818,0.063920906536112,4.94151640165039,"huge"
"3","GRAPHITE MINE","1/1/2014",2444,"2014-01-01",2014,1,13.0322580645161,2014,2008,6,183542,2445,4,2,0.176205329776518,0.0881026648882592,1.04503599776359,0.0191312506009712,5.26373545976579,"huge"
"4","WALTER WILLIAMS PRESERVE","1/1/2015",37713,"2015-01-01",2015,1,13.0322580645161,2015,2008,7,87401,37714,2,1.4142135623731,0.374630778754158,0.264903964098262,1.2060075870568,0.0813500399820244,4.94151640165039,"huge"
"5","GRAPHITE MINE","1/1/2017",4534,"2017-01-01",2017,1,13.0322580645161,2017,2008,9,183542,4535,3,1.73205080756888,0.617779960640265,0.356675426575613,1.22866308261097,0.0894328093121583,5.26373545976579,"huge"
"6","WALTER WILLIAMS PRESERVE","1/1/2017",35520,"2017-01-01",2017,1,13.0322580645161,2017,2008,9,87401,35521,2,1.4142135623731,-0.059907307423901,-0.0423608633220676,0.970490511139007,-0.0130087065199409,4.94151640165039,"huge"
"7","WALTER WILLIAMS PRESERVE","1/1/2019",35737,"2019-01-01",2019,1,13.0322580645161,2019,2008,11,87401,35738,2,1.4142135623731,0.0060904775756396,0.00430661799439936,1.0030498802377,0.00132253040162786,4.94151640165039,"huge"
"8","BAY CITY","3/2/2020",5809,"2020-03-02",2020,3,15.0645161290323,2020,2016,4,55759,5810,1,1,-0.0421292292174032,-0.0421292292174032,0.958745874587459,-0.0182964917759555,4.74631497638163,"huge"
"9","MAIDEN ROCK","3/2/2020",27412,"2020-03-02",2020,3,15.0645161290323,2020,2016,4,128019,27413,1,1,0.0615347319706427,0.0615347319706427,1.06346743220701,0.0267241945402457,5.10727443045094,"huge"
"10","BAY CITY","3/1/2021",7322,"2021-03-01",2021,3,15.0322580645161,2021,2016,5,55759,7323,1,1,0.231439509215113,0.231439509215113,1.26041308089501,0.10051290174652,4.74631497638163,"huge"
"11","GRAPHITE MINE","1/1/2021",12184,"2021-01-01",2021,1,13.0322580645161,2021,2008,13,183542,12185,4,2,0.98838060351007,0.494190301755035,1.28030092873959,0.107312060531157,5.26373545976579,"huge"
"12","MAIDEN ROCK","3/2/2021",22461,"2021-03-02",2021,3,15.0645161290323,2021,2016,5,128019,22462,1,1,-0.199192360890899,-0.199192360890899,0.81939225914712,-0.0865081431721987,5.10727443045094,"huge"
"13","WALTER WILLIAMS PRESERVE","1/1/2021",37564,"2021-01-01",2021,1,13.0322580645161,2021,2008,13,87401,37565,2,1.4142135623731,0.0498582173646544,0.03525508359642,1.02524243716085,0.0108265743395012,4.94151640165039,"huge"
"14","BAY CITY","3/1/2022",11526,"2022-03-01",2022,3,15.0322580645161,2022,2016,6,55759,11527,1,1,0.453672029539943,0.453672029539943,1.57408166052164,0.197027259023046,4.74631497638163,"huge"
"15","MAIDEN ROCK","2/28/2022",28132,"2022-02-28",2022,2,14.9032258064516,2022,2016,6,128019,28133,1,1,0.225118271981533,0.225118271981533,1.25247083964028,0.0977676232971752,5.10727443045094,"huge"
"16","BAY CITY","3/4/2024",25608,"2024-03-04",2024,3,15.1290322580645,2024,2016,8,55759,25609,2,1.4142135623731,0.798251742583026,0.564449220274436,1.49052122063137,0.173338163486732,4.74631497638163,"huge"
"17","GRAPHITE MINE","1/1/2024",17285,"2024-01-01",2024,1,13.0322580645161,2024,2008,16,183542,17286,3,1.73205080756888,0.349691238253277,0.201894330538783,1.123629135142,0.0506229917144378,5.26373545976579,"huge"
"18","MAIDEN ROCK","3/5/2024",47345,"2024-03-05",2024,3,15.1612903225806,2024,2016,8,128019,47346,2,1.4142135623731,0.520539074244576,0.368076709270907,1.29727970458453,0.113033623779723,5.10727443045094,"huge"
"19","WALTER WILLIAMS PRESERVE","1/1/2024",30496,"2024-01-01",2024,1,13.0322580645161,2024,2008,16,87401,30497,3,1.73205080756888,-0.208444447701222,-0.120345457991384,0.932877407719443,-0.0301754244733372,4.94151640165039,"huge"
"20","BAY CITY","3/4/2025",22770,"2025-03-04",2025,3,15.1290322580645,2025,2016,9,55759,22771,1,1,-0.117456055655374,-0.117456055655374,0.889179585302042,-0.05101051683725,4.74631497638163,"huge"
"21","MAIDEN ROCK","3/5/2025",52497,"2025-03-05",2025,3,15.1612903225806,2025,2016,9,128019,52498,1,1,0.103292734866888,0.103292734866888,1.10881595066109,0.044859464773385,5.10727443045094,"huge"
