"","site","date","N","date2","year","month","pdate","wyear","yoa","ysw","max.N","Nc","x_lags","x_ct","y_lags","y_ct","lambda","log.lambda","log.max.N","size.category"
"1","AKRON MINE #2","1/1/2011",51,"2011-01-01",2011,1,13.0322580645161,2011,2007,4,190,52,3,1.73205080756888,-1.3010297094652,-0.751149852983435,0.648121843753401,-0.188343341204309,2.27875360095283,"small"
"2","AKRON MINE #2","1/1/2012",49,"2012-01-01",2012,1,13.0322580645161,2012,2007,5,190,50,1,1,-0.0392207131532813,-0.0392207131532813,0.961538461538462,-0.0170333392987803,2.27875360095283,"small"
"3","SOUTH BETHLEHEM CAVE","3/19/2012",0,"2012-03-19",2012,3,15.6129032258065,2012,2008,4,100,1,1,1,-0.693147180559945,-0.693147180559945,0.5,-0.301029995663981,2,"small"
"4","GLEN PARK CAVES","1/24/2013",1,"2013-01-24",2013,1,13.7741935483871,2013,2008,5,258,2,2,1.4142135623731,-1.87180217690159,-1.32356401232686,0.392232270276368,-0.406456678321428,2.41161970596323,"small"
"5","SOUTH BETHLEHEM CAVE","2/14/2013",2,"2013-02-14",2013,2,14.4516129032258,2013,2008,5,100,3,1,1,1.09861228866811,1.09861228866811,3,0.477121254719662,2,"small"
"6","AKRON MINE #2","1/1/2014",39,"2014-01-01",2014,1,13.0322580645161,2014,2007,7,190,40,2,1.4142135623731,-0.22314355131421,-0.157786318312326,0.894427190999916,-0.0484550065040282,2.27875360095283,"small"
"7","BENSON CAVE","1/1/2014",9,"2014-01-01",2014,1,13.0322580645161,2014,2007,7,37,10,6,2.44948974278318,0.693147180559945,0.282976151503444,1.12246204830937,0.0501716659439969,1.56820172406699,"small"
"8","SOUTH BETHLEHEM CAVE","1/1/2014",9,"2014-01-01",2014,1,13.0322580645161,2014,2008,6,100,10,1,1,1.20397280432594,1.20397280432594,3.33333333333333,0.522878745280338,2,"small"
"9","WILLIAMS MINE #9-10","1/1/2014",45,"2014-01-01",2014,1,13.0322580645161,2014,2008,6,45,46,4,2,0.245122458032985,0.122561229016492,1.06319722089595,0.0266138327285717,1.65321251377534,"small"
"10","WURTSBORO MINE (LOWER)","1/1/2014",10,"2014-01-01",2014,1,13.0322580645161,2014,2008,6,10,11,4,2,1.01160091167848,0.50580045583924,1.2877547884507,0.109833173457566,1,"small"
