site,state,state_full,type,latitude,longitude,county,town,latlongsource,lat_short,long_short,county_centroid,used.town,UTM,UTM_E,UTM_N,NAD,elevation_m,notes,X2012,X2013,X2014,altitude_m,grts_cell_id_master,notes_grts,source
1813,KY,kentucky,hiber,NA,NA,jackson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17 adits mazourka canyon,CA,california,hiber,36.92522,-118.06636,inyo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2389,NA,NA,NA,NA,2385,105875,NA,NA
27 spiders cave,TN,tennessee,hiber,34.915767,-85.262608,hamilton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230.5,34027,"duplicate with chambliss cave, haha cave, lookout mountain battlefield pit 1, lookout mountain battlefield pit 2",NA
7 caves of st. peter,MN,minnesota,hiber,44.2977,-93.9896,nicollet,st. peter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240.4,34907,NA,NA
a lead mine,IL,illinois,hiber,NA,NA,jo daviess,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
across the road,KY,kentucky,hiber,NA,NA,rockcastle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ad-14,OK,oklahoma,hiber,35.73,-95.54,adair,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,NA,NA,NA,NA,206,93188,NA,NA
ad-7,OK,oklahoma,hiber,35.4547,-94.4409,adair,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172.8,12767,NA,NA
ad-8,OK,oklahoma,hiber,36.15,-94.79,adair,KANSAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,324,NA,NA,NA,NA,322,31647,NA,NA
adair bat,OK,oklahoma,hiber,NA,NA,adair,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adcock cave,AL,alabama,hiber,NA,NA,blount,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12923,duplicate with horse cave,NA
aeolus,VT,vermont,hiber,43.2406603,-73.05622474,bennington,east dorset,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96040,NA,NA
